Features,Details,Product
Wartość energetyczna (energia) w kcal,828.0,Olej Z Lnianki
Tłuszcz,92.0,Olej Z Lnianki
Kwasy Tłuszczowe Nasycone,9.4,Olej Z Lnianki
Kwasy Tłuszczowe Jednonienasycone,33.4,Olej Z Lnianki
Kwasy Tłuszczowe Wielonienasycone,49.2,Olej Z Lnianki
Węglowodany,0.0,Olej Z Lnianki
Cukry,0.0,Olej Z Lnianki
Białko,0.0,Olej Z Lnianki
Sól,0.0,Olej Z Lnianki
Omega-3 (kwas alfa-linolenowy),29.8,Olej Z Lnianki
Omega-6 (kwas linolowy),16.9,Olej Z Lnianki
Wartość energetyczna (energia) w kcal,826.0,Olej Z Czarnuszki
Tłuszcz,92.0,Olej Z Czarnuszki
Kwasy Tłuszczowe Nasycone,14.4,Olej Z Czarnuszki
Kwasy Tłuszczowe Jednonienasycone,23.0,Olej Z Czarnuszki
Kwasy Tłuszczowe Wielonienasycone,55.0,Olej Z Czarnuszki
Węglowodany,0.0,Olej Z Czarnuszki
Cukry,0.0,Olej Z Czarnuszki
Białko,0.0,Olej Z Czarnuszki
Sól,0.0,Olej Z Czarnuszki
Omega-6 (kwas linolowy),52.0,Olej Z Czarnuszki
Omega-9 (kwas oleinowy),11.0,Olej Z Czarnuszki
Wartość energetyczna (energia) w kcal,824.0,Olej Ryzowy Rafinowany
Tłuszcz,92.0,Olej Ryzowy Rafinowany
Kwasy Tłuszczowe Nasycone,13.0,Olej Ryzowy Rafinowany
Kwasy Tłuszczowe Jednonienasycone,45.0,Olej Ryzowy Rafinowany
Kwasy Tłuszczowe Wielonienasycone,33.0,Olej Ryzowy Rafinowany
Węglowodany,0.0,Olej Ryzowy Rafinowany
Cukry,0.0,Olej Ryzowy Rafinowany
Białko,0.0,Olej Ryzowy Rafinowany
Sól,0.0,Olej Ryzowy Rafinowany
Omega-6 (kwas linolowy),32.0,Olej Ryzowy Rafinowany
Omega-9 (kwas oleinowy),44.0,Olej Ryzowy Rafinowany
Wartość energetyczna (energia) w kcal,820.0,Olej Arachidowy Nierafinowany
Tłuszcz,91.1,Olej Arachidowy Nierafinowany
Kwasy Tłuszczowe Nasycone,12.6,Olej Arachidowy Nierafinowany
Kwasy Tłuszczowe Jednonienasycone,72.6,Olej Arachidowy Nierafinowany
Kwasy Tłuszczowe Wielonienasycone,5.9,Olej Arachidowy Nierafinowany
Węglowodany,0.0,Olej Arachidowy Nierafinowany
Cukry,0.0,Olej Arachidowy Nierafinowany
Białko,0.0,Olej Arachidowy Nierafinowany
Sól,0.0,Olej Arachidowy Nierafinowany
Omega-6 (kwas linolowy),5.8,Olej Arachidowy Nierafinowany
Omega-9 (kwas oleinowy),70.0,Olej Arachidowy Nierafinowany
Wartość energetyczna (energia) w kcal,822.0,Olej Z Ostropestu Tloczony Na Zimno
Tłuszcz,92.0,Olej Z Ostropestu Tloczony Na Zimno
Kwasy Tłuszczowe Nasycone,18.0,Olej Z Ostropestu Tloczony Na Zimno
Kwasy Tłuszczowe Jednonienasycone,25.0,Olej Z Ostropestu Tloczony Na Zimno
Kwasy Tłuszczowe Wielonienasycone,49.0,Olej Z Ostropestu Tloczony Na Zimno
Węglowodany,0.0,Olej Z Ostropestu Tloczony Na Zimno
Cukry,0.0,Olej Z Ostropestu Tloczony Na Zimno
Białko,0.0,Olej Z Ostropestu Tloczony Na Zimno
Sól,0.0,Olej Z Ostropestu Tloczony Na Zimno
Omega-6 (kwas linolowy),49.0,Olej Z Ostropestu Tloczony Na Zimno
Omega-9 (kwas oleinowy),24.0,Olej Z Ostropestu Tloczony Na Zimno
Wartość energetyczna (energia) w kcal,820.0,Olej Arganowy Nierafinowny
Tłuszcz,91.2,Olej Arganowy Nierafinowny
Kwasy Tłuszczowe Nasycone,17.2,Olej Arganowy Nierafinowny
Kwasy Tłuszczowe Jednonienasycone,44.6,Olej Arganowy Nierafinowny
Kwasy Tłuszczowe Wielonienasycone,29.4,Olej Arganowy Nierafinowny
Węglowodany,0.0,Olej Arganowy Nierafinowny
Cukry,0.0,Olej Arganowy Nierafinowny
Białko,0.0,Olej Arganowy Nierafinowny
Sól,0.0,Olej Arganowy Nierafinowny
Omega-6 (kwas linolowy),29.2,Olej Arganowy Nierafinowny
Omega-9 (kwas oleinowy),44.1,Olej Arganowy Nierafinowny
