Features,Details,Product
"Tłuszcz, w tym:",91 g,Olej Slonecznikowy Tloczony Na Zimno
– kwasy tłuszczowe nasycone,"6,9 g",Olej Slonecznikowy Tloczony Na Zimno
– kwasy tłuszczowe  jednonienasycone,81 g,Olej Slonecznikowy Tloczony Na Zimno
– kwasy tłuszczowe  wielonienasycone,"3,1 g",Olej Slonecznikowy Tloczony Na Zimno
"Węglowodany, w tym:",0 g,Olej Slonecznikowy Tloczony Na Zimno
– cukry,0 g,Olej Slonecznikowy Tloczony Na Zimno
Białko,0 g,Olej Slonecznikowy Tloczony Na Zimno
Sól,0 g,Olej Slonecznikowy Tloczony Na Zimno
Omega-6 (kwas linolowy),"3,1 g",Olej Slonecznikowy Tloczony Na Zimno
Omega-9 (kwas oleinowy),80 g,Olej Slonecznikowy Tloczony Na Zimno
Wartość odżywcza,100 ml,Olej Sezamowy Nierafinowany
Wartość energetyczna (energia),3393 kJ/825 kcal,Olej Sezamowy Nierafinowany
"Tłuszcz, w tym:",92 g,Olej Sezamowy Nierafinowany
– kwasy tłuszczowe nasycone,15 g,Olej Sezamowy Nierafinowany
– kwasy tłuszczowe  jednonienasycone,38 g,Olej Sezamowy Nierafinowany
– kwasy tłuszczowe  wielonienasycone,39 g,Olej Sezamowy Nierafinowany
"Węglowodany, w tym:",0 g,Olej Sezamowy Nierafinowany
– cukry,0 g,Olej Sezamowy Nierafinowany
Białko,0 g,Olej Sezamowy Nierafinowany
Sól,0 g,Olej Sezamowy Nierafinowany
Omega-6 (kwas linolowy),38 g,Olej Sezamowy Nierafinowany
Omega-9 (kwas oleinowy,37 g,Olej Sezamowy Nierafinowany
Wartość  odżywcza,100  ml,Olej Z Awokado Tloczony Na Zimno
Wartość  energetyczna (energia),3374  kJ/821 kcal,Olej Z Awokado Tloczony Na Zimno
"Tłuszcz,  w tym:",91  g,Olej Z Awokado Tloczony Na Zimno
– kwasy tłuszczowe nasycone,18  g,Olej Z Awokado Tloczony Na Zimno
– kwasy tłuszczowe jednonienasycone,63  g,Olej Z Awokado Tloczony Na Zimno
– kwasy tłuszczowe wielonienasycone,10  g,Olej Z Awokado Tloczony Na Zimno
"Węglowodany,  w tym:",0  g,Olej Z Awokado Tloczony Na Zimno
– cukry,0  g,Olej Z Awokado Tloczony Na Zimno
Białko,0  g,Olej Z Awokado Tloczony Na Zimno
Sól,0  g,Olej Z Awokado Tloczony Na Zimno
Omega-6 (kwas linolowy),"9,6 g",Olej Z Awokado Tloczony Na Zimno
Omega-9 (kwas oleinowy),51 g,Olej Z Awokado Tloczony Na Zimno
Wartość odżywcza,100 ml,Olej Z Orzechow Laskowych Nierafinowany
Wartość energetyczna (energia),3374 kJ/821 kcal,Olej Z Orzechow Laskowych Nierafinowany
"Tłuszcz, w tym:","91,7 g",Olej Z Orzechow Laskowych Nierafinowany
– kwasy tłuszczowe nasycone,"8,7 g",Olej Z Orzechow Laskowych Nierafinowany
– kwasy tłuszczowe  jednonienasycone,72 g,Olej Z Orzechow Laskowych Nierafinowany
– kwasy tłuszczowe  wielonienasycone,11 g,Olej Z Orzechow Laskowych Nierafinowany
"Węglowodany, w tym:",0 g,Olej Z Orzechow Laskowych Nierafinowany
– cukry,0 g,Olej Z Orzechow Laskowych Nierafinowany
Białko,0 g,Olej Z Orzechow Laskowych Nierafinowany
Sól,0 g,Olej Z Orzechow Laskowych Nierafinowany
Omega-6 (kwas linolowy),10 g,Olej Z Orzechow Laskowych Nierafinowany
Omega-9 (kwas oleinowy),70 g,Olej Z Orzechow Laskowych Nierafinowany
Wartość  odżywcza,100  ml,Olej Z Orzechow Wloskich Tloczony Na Zimno
Wartość  energetyczna (energia),3386  kJ/824 kcal,Olej Z Orzechow Wloskich Tloczony Na Zimno
"Tłuszcz,  w tym:","91,2  g",Olej Z Orzechow Wloskich Tloczony Na Zimno
– kwasy tłuszczowe nasycone,"9,2  g",Olej Z Orzechow Wloskich Tloczony Na Zimno
– kwasy tłuszczowe jednonienasycone,17  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
– kwasy tłuszczowe wielonienasycone,65  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
"Węglowodany,  w tym:",0  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
– cukry,0  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
Białko,0  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
Sól,0  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
Omega-3 (kwas alfa-linolenowy),10 g,Olej Z Orzechow Wloskich Tloczony Na Zimno
Omega-6 (kwas linolowy),55 g,Olej Z Orzechow Wloskich Tloczony Na Zimno
Omega-9 (kwas oleinowy),17 g,Olej Z Orzechow Wloskich Tloczony Na Zimno
Wartość odżywcza,100 ml,Olej Z Pestek Dyni Tloczony Na Zimno
Wartość energetyczna (energia),3393 kJ/825 kcal,Olej Z Pestek Dyni Tloczony Na Zimno
"Tłuszcz, w tym:",92 g,Olej Z Pestek Dyni Tloczony Na Zimno
– kwasy tłuszczowe nasycone,17 g,Olej Z Pestek Dyni Tloczony Na Zimno
– kwasy tłuszczowe  jednonienasycone,31 g,Olej Z Pestek Dyni Tloczony Na Zimno
– kwasy tłuszczowe  wielonienasycone,43 g,Olej Z Pestek Dyni Tloczony Na Zimno
"Węglowodany, w tym:",0 g,Olej Z Pestek Dyni Tloczony Na Zimno
– cukry,0 g,Olej Z Pestek Dyni Tloczony Na Zimno
Białko,0 g,Olej Z Pestek Dyni Tloczony Na Zimno
Sól,0 g,Olej Z Pestek Dyni Tloczony Na Zimno
Omega-6 (kwas linolowy),43 g,Olej Z Pestek Dyni Tloczony Na Zimno
Omega-9 (kwas oleinowy),30 g,Olej Z Pestek Dyni Tloczony Na Zimno
Wartość odżywcza,100 ml:,Olej Z Lnianki
Wartość energetyczna (energia),3404 kJ/828 kcal,Olej Z Lnianki
"Tłuszcz, w tym:",92 g,Olej Z Lnianki
– kwasy tłuszczowe nasycone,"9,4 g",Olej Z Lnianki
– kwasy tłuszczowe jednonienasycone,"33,4 g",Olej Z Lnianki
– kwasy tłuszczowe wielonienasycone,"49,2 g",Olej Z Lnianki
"Węglowodany, w tym:",0 g,Olej Z Lnianki
– cukry,0 g,Olej Z Lnianki
Białko,0 g,Olej Z Lnianki
Sól,0 g,Olej Z Lnianki
Omega-3 (kwas alfa-linolenowy),"29,8 g",Olej Z Lnianki
Omega-6 (kwas linolowy),"16,9 g",Olej Z Lnianki
Wartość odżywcza,100 ml,Olej Z Czarnuszki
Wartość energetyczna (energia),3403 kJ/826 kcal,Olej Z Czarnuszki
"Tłuszcz, w tym:",92 g,Olej Z Czarnuszki
– kwasy tłuszczowe nasycone,"14,4 g",Olej Z Czarnuszki
– kwasy tłuszczowe jednonienasycone,23 g,Olej Z Czarnuszki
– kwasy tłuszczowe wielonienasycone,55 g,Olej Z Czarnuszki
"Węglowodany, w tym:",0 g,Olej Z Czarnuszki
– cukry,0 g,Olej Z Czarnuszki
Białko,0 g,Olej Z Czarnuszki
Sól,0 g,Olej Z Czarnuszki
Omega-6 (kwas linolowy),52 g,Olej Z Czarnuszki
Omega-9 (kwas oleinowy),11 g,Olej Z Czarnuszki
Wartość odżywcza,100 ml:,Olej Ryzowy Rafinowany
Wartość energetyczna (energia),3386 kJ/824 kcal,Olej Ryzowy Rafinowany
"Tłuszcz, w tym:",92 g,Olej Ryzowy Rafinowany
– kwasy tłuszczowe nasycone,13 g,Olej Ryzowy Rafinowany
– kwasy tłuszczowe jednonienasycone,45 g,Olej Ryzowy Rafinowany
– kwasy tłuszczowe wielonienasycone,33 g,Olej Ryzowy Rafinowany
"Węglowodany, w tym:",0 g,Olej Ryzowy Rafinowany
– cukry,0 g,Olej Ryzowy Rafinowany
Białko,0 g,Olej Ryzowy Rafinowany
Sól,0 g,Olej Ryzowy Rafinowany
Omega-6 (kwas linolowy),32 g,Olej Ryzowy Rafinowany
Omega-9 (kwas oleinowy),44 g,Olej Ryzowy Rafinowany
Wartość  odżywcza,100  ml,Olej Arachidowy Nierafinowany
Wartość  energetyczna (energia),3370 kJ/820 kcal,Olej Arachidowy Nierafinowany
"Tłuszcz,  w tym:","91,1 g",Olej Arachidowy Nierafinowany
– kwasy tłuszczowe nasycone,"12,6 g",Olej Arachidowy Nierafinowany
– kwasy tłuszczowe jednonienasycone,"72,6 g",Olej Arachidowy Nierafinowany
– kwasy tłuszczowe wielonienasycone,"5,9 g",Olej Arachidowy Nierafinowany
"Węglowodany,  w tym:",0  g,Olej Arachidowy Nierafinowany
– cukry,0  g,Olej Arachidowy Nierafinowany
Białko,0  g,Olej Arachidowy Nierafinowany
Sól,0  g,Olej Arachidowy Nierafinowany
Omega-6 (kwas linolowy),"5,8 g",Olej Arachidowy Nierafinowany
Omega-9 (kwas oleinowy),70 g,Olej Arachidowy Nierafinowany
Wartość odżywcza,100 ml,Olej Z Ostropestu Tloczony Na Zimno
Wartość energetyczna (energia),3378 kJ/822 kcal,Olej Z Ostropestu Tloczony Na Zimno
"Tłuszcz, w tym:",92 g,Olej Z Ostropestu Tloczony Na Zimno
Kwasy tłuszczowe nasycone,18 g,Olej Z Ostropestu Tloczony Na Zimno
Kwasy tłuszczowe jednonienasycone,25 g,Olej Z Ostropestu Tloczony Na Zimno
Kwasy tłuszczowe wielonienasycone,49 g,Olej Z Ostropestu Tloczony Na Zimno
"Węglowodany, w tym:",0 g,Olej Z Ostropestu Tloczony Na Zimno
cukry,0 g,Olej Z Ostropestu Tloczony Na Zimno
Białko,0 g,Olej Z Ostropestu Tloczony Na Zimno
Sól,0 g,Olej Z Ostropestu Tloczony Na Zimno
Omega-6 (kwas linolowy),49 g,Olej Z Ostropestu Tloczony Na Zimno
Omega-9 (kwas oleinowy),24 g,Olej Z Ostropestu Tloczony Na Zimno
Wartość odżywcza,100 ml,Olej Arganowy Nierafinowny
Wartość energetyczna (energia),3374 kJ/820 kcal,Olej Arganowy Nierafinowny
"Tłuszcz, w tym:","91,2 g",Olej Arganowy Nierafinowny
kwasy tłuszczowe nasycone,"17,2 g",Olej Arganowy Nierafinowny
kwasy tłuszczowe jednonienasycone,"44,6 g",Olej Arganowy Nierafinowny
kwasy tłuszczowe wielonienasycone,"29,4 g",Olej Arganowy Nierafinowny
"Węglowodany, w tym:",0 g,Olej Arganowy Nierafinowny
cukry,0 g,Olej Arganowy Nierafinowny
Białko,0 g,Olej Arganowy Nierafinowny
Sól,0 g,Olej Arganowy Nierafinowny
Omega – 6 (kwas linolowy),"29,2 g",Olej Arganowy Nierafinowny
Omega – 9 (kwas oleinowy),"44,1 g",Olej Arganowy Nierafinowny
