,Features,Details,Product
2,"Tłuszcz, w tym:",92 g,Olej Z Pestek Dyni Tloczony Na Zimno
3,– kwasy tłuszczowe nasycone,17 g,Olej Z Pestek Dyni Tloczony Na Zimno
4,– kwasy tłuszczowe  jednonienasycone,31 g,Olej Z Pestek Dyni Tloczony Na Zimno
5,– kwasy tłuszczowe  wielonienasycone,43 g,Olej Z Pestek Dyni Tloczony Na Zimno
6,"Węglowodany, w tym:",0 g,Olej Z Pestek Dyni Tloczony Na Zimno
7,– cukry,0 g,Olej Z Pestek Dyni Tloczony Na Zimno
8,Białko,0 g,Olej Z Pestek Dyni Tloczony Na Zimno
9,Sól,0 g,Olej Z Pestek Dyni Tloczony Na Zimno
10,Omega-6 (kwas linolowy),43 g,Olej Z Pestek Dyni Tloczony Na Zimno
11,Omega-9 (kwas oleinowy),30 g,Olej Z Pestek Dyni Tloczony Na Zimno
0,Wartość odżywcza,100 ml:,Olej Z Lnianki
1,Wartość energetyczna (energia),3404 kJ/828 kcal,Olej Z Lnianki
2,"Tłuszcz, w tym:",92 g,Olej Z Lnianki
3,– kwasy tłuszczowe nasycone,"9,4 g",Olej Z Lnianki
4,– kwasy tłuszczowe jednonienasycone,"33,4 g",Olej Z Lnianki
5,– kwasy tłuszczowe wielonienasycone,"49,2 g",Olej Z Lnianki
6,"Węglowodany, w tym:",0 g,Olej Z Lnianki
7,– cukry,0 g,Olej Z Lnianki
8,Białko,0 g,Olej Z Lnianki
9,Sól,0 g,Olej Z Lnianki
10,Omega-3 (kwas alfa-linolenowy),"29,8 g",Olej Z Lnianki
11,Omega-6 (kwas linolowy),"16,9 g",Olej Z Lnianki
0,Wartość odżywcza,100 ml,Olej Z Czarnuszki
1,Wartość energetyczna (energia),3403 kJ/826 kcal,Olej Z Czarnuszki
2,"Tłuszcz, w tym:",92 g,Olej Z Czarnuszki
3,– kwasy tłuszczowe nasycone,"14,4 g",Olej Z Czarnuszki
4,– kwasy tłuszczowe jednonienasycone,23 g,Olej Z Czarnuszki
5,– kwasy tłuszczowe wielonienasycone,55 g,Olej Z Czarnuszki
6,"Węglowodany, w tym:",0 g,Olej Z Czarnuszki
7,– cukry,0 g,Olej Z Czarnuszki
8,Białko,0 g,Olej Z Czarnuszki
9,Sól,0 g,Olej Z Czarnuszki
10,Omega-6 (kwas linolowy),52 g,Olej Z Czarnuszki
11,Omega-9 (kwas oleinowy),11 g,Olej Z Czarnuszki
0,Wartość odżywcza,100 ml:,Olej Ryzowy Rafinowany
1,Wartość energetyczna (energia),3386 kJ/824 kcal,Olej Ryzowy Rafinowany
2,"Tłuszcz, w tym:",92 g,Olej Ryzowy Rafinowany
3,– kwasy tłuszczowe nasycone,13 g,Olej Ryzowy Rafinowany
4,– kwasy tłuszczowe jednonienasycone,45 g,Olej Ryzowy Rafinowany
5,– kwasy tłuszczowe wielonienasycone,33 g,Olej Ryzowy Rafinowany
6,"Węglowodany, w tym:",0 g,Olej Ryzowy Rafinowany
7,– cukry,0 g,Olej Ryzowy Rafinowany
8,Białko,0 g,Olej Ryzowy Rafinowany
9,Sól,0 g,Olej Ryzowy Rafinowany
10,Omega-6 (kwas linolowy),32 g,Olej Ryzowy Rafinowany
11,Omega-9 (kwas oleinowy),44 g,Olej Ryzowy Rafinowany
0,Wartość  odżywcza,100  ml,Olej Arachidowy Nierafinowany
1,Wartość  energetyczna (energia),3370 kJ/820 kcal,Olej Arachidowy Nierafinowany
2,"Tłuszcz,  w tym:","91,1 g",Olej Arachidowy Nierafinowany
3,– kwasy tłuszczowe nasycone,"12,6 g",Olej Arachidowy Nierafinowany
4,– kwasy tłuszczowe jednonienasycone,"72,6 g",Olej Arachidowy Nierafinowany
5,– kwasy tłuszczowe wielonienasycone,"5,9 g",Olej Arachidowy Nierafinowany
6,"Węglowodany,  w tym:",0  g,Olej Arachidowy Nierafinowany
7,– cukry,0  g,Olej Arachidowy Nierafinowany
8,Białko,0  g,Olej Arachidowy Nierafinowany
9,Sól,0  g,Olej Arachidowy Nierafinowany
10,Omega-6 (kwas linolowy),"5,8 g",Olej Arachidowy Nierafinowany
11,Omega-9 (kwas oleinowy),70 g,Olej Arachidowy Nierafinowany
